,Title,Published_date,Views,Likes,Dislikes,Comments,Month
226,Data Science Fundamentals: Linear Regression,2019-11-29,6207,171,0,42,Nov
227,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1009,50,0,12,Nov
228,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5800,265,0,26,Nov
229,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45705,1747,0,80,Nov
230,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5890,136,0,31,Nov
231,Why Selling Is An Important Data Science Skill,2019-11-04,1598,79,0,13,Nov
232,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2739,73,0,18,Oct
233,Why is Balance Important in Data Science?,2019-10-16,692,32,0,13,Oct
234,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11693,578,0,54,Sep
235,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3677,113,0,31,Sep
236,6 Habits of Successful Data Scientists,2019-09-13,2175,94,0,17,Sep
237,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4243,95,0,9,Sep
238,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,0,29,Aug
239,Is Data Science Right For You?,2019-08-18,49884,1161,0,109,Aug
240,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14465,387,0,55,Aug
241,How To Get Data Science Experience (Without a Job),2019-08-08,28961,1376,0,75,Aug
242,Take Your Data Science Projects From Good to Great,2019-08-05,1584,107,0,11,Aug
243,The Projects You Should Do To Get A Data Science Job,2019-07-30,147925,5662,0,252,Jul
244,What Does a Data Scientist Actually Do?,2019-07-19,35184,1178,0,82,Jul
245,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12670,347,0,42,Jul
246,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17383,517,0,61,Jul
247,Data Science: Pros and Cons,2019-06-30,5121,212,0,18,Jun
248,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24054,1166,0,89,Jun
249,My Top 5 Data Science Internship Tips,2019-06-15,11628,479,0,23,Jun
250,Golf STATS: Strokes Gained Explained,2019-06-07,7020,147,0,28,Jun
251,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,607,44,0,5,May
252,What I Learned From My Three Degrees,2019-05-17,1233,60,0,12,May
253,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25571,1067,0,68,May
254,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1227,40,0,2,May
255,Should You Learn R for Data Science?,2019-04-25,20232,543,0,69,Apr
256,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46200,853,0,336,Apr
257,Work From Home Data Scientist: Day in the Life,2019-04-12,27990,761,0,103,Apr
258,Where to Look for Data Science Jobs,2019-03-29,2989,120,0,9,Mar
259,Data Science: Startup vs. Large Corporation,2019-03-21,2083,75,0,4,Mar
260,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6011,168,0,26,Mar
261,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4134,179,0,15,Mar
262,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,793,33,0,12,Mar
263,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1416,35,0,8,Mar
264,Where YOU Should Start With Data Science Projects,2019-02-19,15866,326,0,17,Feb
265,Watch This Before Applying to Data Science Jobs,2019-02-04,1480,66,0,13,Feb
266,My Top 5 Data Science Resources for 2019,2019-01-05,3671,121,0,17,Jan
267,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,825,37,0,6,Dec
268,The Best Way to Predict NBA Minutes Played,2018-12-11,4128,106,0,14,Dec
269,Demystifying Data Science Roles,2018-11-30,1124,53,0,5,Nov
270,How to Simulate NBA Games in Python,2018-11-19,17327,386,0,54,Nov
271,Should You Get A Masters in Data Science?,2018-11-14,20441,304,0,138,Nov
272,How I Became A Data Scientist From a Business Background,2018-11-12,6361,197,0,23,Nov
273,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8499,193,0,17,Jul
274,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18686,292,0,41,Nov
